Shift_Point1,Shift_Point2,Toward_Point,Actual_Coord,RSSI,Normalized1,Normalized2,Normalized3,Best_Shift,Best_coord,Best_accuracy,Shift,Coord,Accuracy,Shift,Coord,Accuracy,Shift,Coord,Accuracy,Shift,Coord,Accuracy,Shift,Coord,Accuracy,Shift,Coord,Accuracy,Shift,Coord,Accuracy,Shift,Coord,Accuracy,Shift,Coord,Accuracy,Shift,Coord,Accuracy
E,D,C,"[1.8, 0.3]","[-53, -62, -66, -69, -72, -75]","{0.53: [0.354, 0.215, 0.175, 0.211, 0.532, 0.0]}","{0.349: [0.418, 0.287, 0.283, 0.055, 0.091, 0.027]}","{0.263: [0.284, 0.031, 0.043, 0.278, 0.125, 0.293]}",9,"(3.0, 5.3)",5.142,0,"(3.0, 8.3)",8.089,1,"(3.0, 8.0)",7.793,2,"(3.0, 7.7)",7.497,3,"(3.0, 7.3)",7.102,4,"(3.0, 7.0)",6.807,5,"(3.0, 6.7)",6.512,6,"(3.0, 6.3)",6.119,7,"(3.0, 6.0)",5.825,8,"(3.0, 5.7)",5.532,9,"(3.0, 5.3)",5.142
E,D,C,"[1.4, 6.9]","[-48, -58, -66, -67, -79, -77]","{0.77: [0.415, 0.266, 0.175, 0.175, 0.681, 0.027]}","{0.464: [0.473, 0.333, 0.283, 0.082, 0.197, 0.055]}","{0.355: [0.351, 0.094, 0.043, 0.241, 0.234, 0.328]}",4,"(3.0, 7.0)",1.603,0,"(3.0, 8.3)",2.126,1,"(3.0, 8.0)",1.942,2,"(3.0, 7.7)",1.789,3,"(3.0, 7.3)",1.649,4,"(3.0, 7.0)",1.603,5,"(3.0, 6.7)",1.612,6,"(3.0, 6.3)",1.709,7,"(3.0, 6.0)",1.836,8,"(3.0, 5.7)",2.0,9,"(3.0, 5.3)",2.263
E,D,C,"[1.4, 6.9]","[-47, -56, -67, -71, -75, -79]","{0.713: [0.427, 0.291, 0.163, 0.246, 0.596, 0.053]}","{0.461: [0.484, 0.356, 0.272, 0.027, 0.136, 0.082]}","{0.41: [0.365, 0.125, 0.029, 0.315, 0.172, 0.362]}",4,"(3.0, 7.0)",1.603,0,"(3.0, 8.3)",2.126,1,"(3.0, 8.0)",1.942,2,"(3.0, 7.7)",1.789,3,"(3.0, 7.3)",1.649,4,"(3.0, 7.0)",1.603,5,"(3.0, 6.7)",1.612,6,"(3.0, 6.3)",1.709,7,"(3.0, 6.0)",1.836,8,"(3.0, 5.7)",2.0,9,"(3.0, 5.3)",2.263
E,D,C,"[1.8, 0.3]","[-53, -62, -66, -69, -72, -75]","{0.53: [0.354, 0.215, 0.175, 0.211, 0.532, 0.0]}","{0.349: [0.418, 0.287, 0.283, 0.055, 0.091, 0.027]}","{0.263: [0.284, 0.031, 0.043, 0.278, 0.125, 0.293]}",9,"(3.0, 5.3)",5.142,0,"(3.0, 8.3)",8.089,1,"(3.0, 8.0)",7.793,2,"(3.0, 7.7)",7.497,3,"(3.0, 7.3)",7.102,4,"(3.0, 7.0)",6.807,5,"(3.0, 6.7)",6.512,6,"(3.0, 6.3)",6.119,7,"(3.0, 6.0)",5.825,8,"(3.0, 5.7)",5.532,9,"(3.0, 5.3)",5.142
E,D,C,"[1.4, 5.1]","[-48, -69, -68, -71, -73, -74]","{0.577: [0.415, 0.127, 0.15, 0.246, 0.553, 0.013]}","{0.347: [0.473, 0.207, 0.261, 0.027, 0.106, 0.014]}","{0.324: [0.351, 0.078, 0.014, 0.315, 0.141, 0.276]}",9,"(3.0, 5.3)",1.612,0,"(3.0, 8.3)",3.578,1,"(3.0, 8.0)",3.312,2,"(3.0, 7.7)",3.053,3,"(3.0, 7.3)",2.72,4,"(3.0, 7.0)",2.484,5,"(3.0, 6.7)",2.263,6,"(3.0, 6.3)",2.0,7,"(3.0, 6.0)",1.836,8,"(3.0, 5.7)",1.709,9,"(3.0, 5.3)",1.612
B,D,E,"[3.9, 1.4]","[-61, -66, -68, -69, -68, -71]","{0.426: [0.605, 0.07, 0.117, 0.068, 0.181, 0.053]}","{0.363: [0.256, 0.165, 0.15, 0.211, 0.447, 0.053]}","{0.24: [0.33, 0.241, 0.261, 0.055, 0.03, 0.027]}",0,"(2.0, 6.7)",5.63,0,"(2.0, 6.7)",5.63,1,"(2.4, 7.0)",5.797,2,"(2.8, 7.3)",6.002,3,"(3.2, 7.7)",6.339,4,"(3.6, 8.0)",6.607,5,"(4.0, 8.3)",6.901,6,"(4.4, 8.7)",7.317,7,"(4.8, 9.0)",7.653,8,"(5.2, 9.3)",8.006,9,"(5.6, 9.7)",8.472
E,C,D,"[2.2, 8.9]","[-58, -66, -67, -81, -77, -88]","{0.754: [0.293, 0.165, 0.163, 0.421, 0.638, 0.173]}","{0.607: [0.216, 0.031, 0.029, 0.5, 0.203, 0.517]}","{0.346: [0.363, 0.241, 0.272, 0.11, 0.167, 0.205]}",0,"(3.0, 8.3)",1.0,0,"(3.0, 8.3)",1.0,1,"(3.3, 8.5)",1.17,2,"(3.6, 8.7)",1.414,3,"(3.9, 8.8)",1.703,4,"(4.2, 9.0)",2.002,5,"(4.5, 9.2)",2.319,6,"(4.8, 9.3)",2.631,7,"(5.1, 9.5)",2.961,8,"(5.4, 9.7)",3.298,9,"(5.7, 9.8)",3.614
E,B,D,"[5.6, 9.5]","[-64, -69, -69, -83, -91, -95]","{1.238: [0.22, 0.127, 0.138, 0.456, 0.936, 0.267]}","{0.897: [0.135, 0.078, 0.0, 0.537, 0.422, 0.638]}","{0.575: [0.684, 0.028, 0.104, 0.122, 0.096, 0.267]}",0,"(1.0, 5.0)",6.435,0,"(1.0, 5.0)",6.435,1,"(0.9, 4.5)",6.862,2,"(0.8, 4.0)",7.3,3,"(0.7, 3.5)",7.747,4,"(0.6, 3.0)",8.201,5,"(0.5, 2.5)",8.661,6,"(0.4, 2.0)",9.126,7,"(0.3, 1.5)",9.596,8,"(0.2, 1.0)",10.07,9,"(0.1, 0.5)",10.548
E,D,C,"[0.3, 0.3]","[-46, -60, -71, -73, -74, -77]","{0.673: [0.439, 0.241, 0.113, 0.281, 0.574, 0.027]}","{0.411: [0.495, 0.31, 0.228, 0.0, 0.121, 0.055]}","{0.404: [0.378, 0.062, 0.029, 0.352, 0.156, 0.328]}",9,"(3.0, 5.3)",5.682,0,"(3.0, 8.3)",8.443,1,"(3.0, 8.0)",8.16,2,"(3.0, 7.7)",7.877,3,"(3.0, 7.3)",7.503,4,"(3.0, 7.0)",7.224,5,"(3.0, 6.7)",6.946,6,"(3.0, 6.3)",6.58,7,"(3.0, 6.0)",6.307,8,"(3.0, 5.7)",6.037,9,"(3.0, 5.3)",5.682
E,C,D,"[0.4, 7.6]","[-55, -54, -63, -71, -80, -81]","{0.813: [0.329, 0.316, 0.212, 0.246, 0.702, 0.08]}","{0.458: [0.396, 0.379, 0.315, 0.027, 0.212, 0.11]}","{0.417: [0.257, 0.156, 0.087, 0.315, 0.25, 0.397]}",2,"(3.0, 7.7)",2.602,0,"(3.0, 8.3)",2.693,1,"(3.0, 8.0)",2.631,2,"(3.0, 7.7)",2.602,3,"(3.0, 7.3)",2.617,4,"(3.0, 7.0)",2.668,5,"(3.0, 6.7)",2.751,6,"(3.0, 6.3)",2.907,7,"(3.0, 6.0)",3.053,8,"(3.0, 5.7)",3.22,9,"(3.0, 5.3)",3.471
B,D,E,"[4.5, 1.5]","[-60, -62, -66, -66, -75, -75]","{0.529: [0.268, 0.215, 0.175, 0.158, 0.596, 0.0]}","{0.392: [0.579, 0.127, 0.143, 0.108, 0.096, 0.0]}","{0.306: [0.341, 0.287, 0.283, 0.096, 0.136, 0.027]}",0,"(2.0, 6.7)",5.77,0,"(2.0, 6.7)",5.77,1,"(2.4, 7.0)",5.887,2,"(2.8, 7.3)",6.044,3,"(3.2, 7.7)",6.335,4,"(3.6, 8.0)",6.562,5,"(4.0, 8.3)",6.818,6,"(4.4, 8.7)",7.201,7,"(4.8, 9.0)",7.506,8,"(5.2, 9.3)",7.831,9,"(5.6, 9.7)",8.273
E,D,C,"[3.4, 9.8]","[-55, -65, -68, -73, -78, -84]","{0.69: [0.329, 0.177, 0.15, 0.281, 0.66, 0.12]}","{0.439: [0.257, 0.016, 0.014, 0.352, 0.219, 0.448]}","{0.345: [0.396, 0.253, 0.261, 0.0, 0.182, 0.151]}",2,"(3.6, 8.7)",1.118,0,"(3.0, 8.3)",1.552,1,"(3.3, 8.5)",1.304,2,"(3.6, 8.7)",1.118,3,"(3.9, 8.8)",1.118,4,"(4.2, 9.0)",1.131,5,"(4.5, 9.2)",1.253,6,"(4.8, 9.3)",1.487,7,"(5.1, 9.5)",1.726,8,"(5.4, 9.7)",2.002,9,"(5.7, 9.8)",2.3
E,D,C,"[5.5, 5.4]","[-54, -66, -68, -71, -82, -86]","{0.803: [0.341, 0.165, 0.15, 0.246, 0.745, 0.147]}","{0.485: [0.27, 0.031, 0.014, 0.315, 0.281, 0.483]}","{0.384: [0.407, 0.241, 0.261, 0.027, 0.242, 0.178]}",3,"(3.9, 8.8)",3.758,0,"(3.0, 8.3)",3.829,1,"(3.3, 8.5)",3.801,2,"(3.6, 8.7)",3.808,3,"(3.9, 8.8)",3.758,4,"(4.2, 9.0)",3.828,5,"(4.5, 9.2)",3.929,6,"(4.8, 9.3)",3.962,7,"(5.1, 9.5)",4.119,8,"(5.4, 9.7)",4.301,9,"(5.7, 9.8)",4.405
E,D,C,"[1.2, 4.1]","[-51, -65, -72, -76, -75, -75]","{0.65: [0.378, 0.177, 0.1, 0.333, 0.596, 0.0]}","{0.381: [0.311, 0.016, 0.043, 0.407, 0.172, 0.293]}","{0.326: [0.44, 0.253, 0.217, 0.041, 0.136, 0.027]}",0,"(3.0, 8.3)",4.569,0,"(3.0, 8.3)",4.569,1,"(3.3, 8.5)",4.875,2,"(3.6, 8.7)",5.188,3,"(3.9, 8.8)",5.42,4,"(4.2, 9.0)",5.745,5,"(4.5, 9.2)",6.075,6,"(4.8, 9.3)",6.325,7,"(5.1, 9.5)",6.661,8,"(5.4, 9.7)",7.0,9,"(5.7, 9.8)",7.262
D,E,C,"[2.3, 3.8]","[-47, -63, -63, -66, -65, -78]","{0.442: [0.427, 0.203, 0.212, 0.158, 0.383, 0.04]}","{0.423: [0.484, 0.276, 0.315, 0.096, 0.015, 0.068]}","{0.334: [0.382, 0.137, 0.212, 0.175, 0.293, 0.083]}",3,"(4.6, 4.7)",2.47,0,"(4.0, 6.7)",3.362,1,"(4.2, 6.0)",2.907,2,"(4.4, 5.3)",2.581,3,"(4.6, 4.7)",2.47,4,"(4.8, 4.0)",2.508,5,"(5.0, 3.3)",2.746,6,"(5.2, 2.7)",3.102,7,"(5.4, 2.0)",3.585,8,"(5.6, 1.3)",4.14,9,"(5.8, 0.7)",4.675
E,D,C,"[4.2, 9.1]","[-55, -68, -70, -80, -83, -93]","{0.951: [0.329, 0.139, 0.125, 0.404, 0.766, 0.24]}","{0.753: [0.257, 0.062, 0.014, 0.481, 0.297, 0.603]}","{0.413: [0.396, 0.218, 0.239, 0.096, 0.258, 0.274]}",4,"(4.2, 9.0)",0.1,0,"(3.0, 8.3)",1.442,1,"(3.3, 8.5)",1.082,2,"(3.6, 8.7)",0.721,3,"(3.9, 8.8)",0.424,4,"(4.2, 9.0)",0.1,5,"(4.5, 9.2)",0.316,6,"(4.8, 9.3)",0.632,7,"(5.1, 9.5)",0.985,8,"(5.4, 9.7)",1.342,9,"(5.7, 9.8)",1.655
E,B,D,"[5.5, 3]","[-63, -63, -64, -73, -78, -83]","{0.661: [0.232, 0.203, 0.2, 0.281, 0.66, 0.107]}","{0.49: [0.658, 0.113, 0.169, 0.014, 0.06, 0.107]}","{0.385: [0.149, 0.016, 0.072, 0.352, 0.219, 0.431]}",9,"(2.8, 5.0)",3.36,0,"(1.0, 5.0)",4.924,1,"(1.2, 5.0)",4.742,2,"(1.4, 5.0)",4.562,3,"(1.6, 5.0)",4.383,4,"(1.8, 5.0)",4.206,5,"(2.0, 5.0)",4.031,6,"(2.2, 5.0)",3.859,7,"(2.4, 5.0)",3.689,8,"(2.6, 5.0)",3.523,9,"(2.8, 5.0)",3.36
E,C,D,"[3.4, 9.8]","[-57, -66, -70, -73, -78, -86]","{0.673: [0.305, 0.165, 0.125, 0.281, 0.66, 0.147]}","{0.459: [0.23, 0.031, 0.014, 0.352, 0.219, 0.483]}","{0.32: [0.374, 0.241, 0.239, 0.0, 0.182, 0.178]}",2,"(3.6, 8.7)",1.118,0,"(3.0, 8.3)",1.552,1,"(3.3, 8.5)",1.304,2,"(3.6, 8.7)",1.118,3,"(3.9, 8.8)",1.118,4,"(4.2, 9.0)",1.131,5,"(4.5, 9.2)",1.253,6,"(4.8, 9.3)",1.487,7,"(5.1, 9.5)",1.726,8,"(5.4, 9.7)",2.002,9,"(5.7, 9.8)",2.3
E,D,C,"[1.1, 8.8]","[-55, -55, -66, -68, -69, -85]","{0.505: [0.329, 0.304, 0.175, 0.193, 0.468, 0.133]}","{0.406: [0.396, 0.368, 0.283, 0.068, 0.045, 0.164]}","{0.378: [0.257, 0.141, 0.043, 0.259, 0.078, 0.466]}",0,"(3.0, 8.3)",1.965,0,"(3.0, 8.3)",1.965,1,"(3.0, 8.0)",2.062,2,"(3.0, 7.7)",2.195,3,"(3.0, 7.3)",2.421,4,"(3.0, 7.0)",2.617,5,"(3.0, 6.7)",2.832,6,"(3.0, 6.3)",3.14,7,"(3.0, 6.0)",3.384,8,"(3.0, 5.7)",3.636,9,"(3.0, 5.3)",3.982
E,D,C,"[4.4, 6.4]","[-50, -61, -65, -68, -73, -80]","{0.586: [0.39, 0.228, 0.188, 0.193, 0.553, 0.067]}","{0.403: [0.451, 0.299, 0.293, 0.068, 0.106, 0.096]}","{0.341: [0.324, 0.047, 0.058, 0.259, 0.141, 0.379]}",6,"(3.0, 6.3)",1.404,0,"(3.0, 8.3)",2.36,1,"(3.0, 8.0)",2.126,2,"(3.0, 7.7)",1.91,3,"(3.0, 7.3)",1.664,4,"(3.0, 7.0)",1.523,5,"(3.0, 6.7)",1.432,6,"(3.0, 6.3)",1.404,7,"(3.0, 6.0)",1.456,8,"(3.0, 5.7)",1.565,9,"(3.0, 5.3)",1.78
E,D,C,"[4.2, 9.1]","[-53, -66, -68, -81, -82, -90]","{0.946: [0.354, 0.165, 0.15, 0.421, 0.745, 0.2]}","{0.716: [0.284, 0.031, 0.014, 0.5, 0.281, 0.552]}","{0.426: [0.418, 0.241, 0.261, 0.11, 0.242, 0.233]}",4,"(4.2, 9.0)",0.1,0,"(3.0, 8.3)",1.442,1,"(3.3, 8.5)",1.082,2,"(3.6, 8.7)",0.721,3,"(3.9, 8.8)",0.424,4,"(4.2, 9.0)",0.1,5,"(4.5, 9.2)",0.316,6,"(4.8, 9.3)",0.632,7,"(5.1, 9.5)",0.985,8,"(5.4, 9.7)",1.342,9,"(5.7, 9.8)",1.655
E,D,C,"[5.4, 6.5]","[-53, -56, -64, -67, -68, -89]","{0.516: [0.354, 0.291, 0.2, 0.175, 0.447, 0.187]}","{0.45: [0.418, 0.356, 0.304, 0.082, 0.03, 0.219]}","{0.449: [0.284, 0.125, 0.072, 0.241, 0.062, 0.534]}",5,"(3.0, 6.7)",2.408,0,"(3.0, 8.3)",3.0,1,"(3.0, 8.0)",2.83,2,"(3.0, 7.7)",2.683,3,"(3.0, 7.3)",2.53,4,"(3.0, 7.0)",2.452,5,"(3.0, 6.7)",2.408,6,"(3.0, 6.3)",2.408,7,"(3.0, 6.0)",2.452,8,"(3.0, 5.7)",2.53,9,"(3.0, 5.3)",2.683
B,E,D,"[0.2, 3.9]","[-64, -64, -65, -71, -77, -77]","{0.588: [0.22, 0.19, 0.188, 0.246, 0.638, 0.027]}","{0.51: [0.684, 0.099, 0.156, 0.041, 0.072, 0.027]}","{0.276: [0.297, 0.264, 0.293, 0.027, 0.167, 0.055]}",0,"(2.0, 6.7)",3.329,0,"(2.0, 6.7)",3.329,1,"(2.4, 7.0)",3.801,2,"(2.8, 7.3)",4.28,3,"(3.2, 7.7)",4.841,4,"(3.6, 8.0)",5.326,5,"(4.0, 8.3)",5.814,6,"(4.4, 8.7)",6.378,7,"(4.8, 9.0)",6.868,8,"(5.2, 9.3)",7.359,9,"(5.6, 9.7)",7.925
E,C,D,"[3.4, 9.8]","[-56, -63, -69, -74, -79, -89]","{0.748: [0.317, 0.203, 0.138, 0.298, 0.681, 0.187]}","{0.536: [0.243, 0.016, 0.0, 0.37, 0.234, 0.534]}","{0.373: [0.385, 0.276, 0.25, 0.014, 0.197, 0.219]}",2,"(3.6, 8.7)",1.118,0,"(3.0, 8.3)",1.552,1,"(3.3, 8.5)",1.304,2,"(3.6, 8.7)",1.118,3,"(3.9, 8.8)",1.118,4,"(4.2, 9.0)",1.131,5,"(4.5, 9.2)",1.253,6,"(4.8, 9.3)",1.487,7,"(5.1, 9.5)",1.726,8,"(5.4, 9.7)",2.002,9,"(5.7, 9.8)",2.3
D,C,E,"[0.2, 9.7]","[-53, -49, -62, -65, -70, -76]","{0.579: [0.354, 0.38, 0.225, 0.14, 0.489, 0.013]}","{0.49: [0.418, 0.437, 0.326, 0.11, 0.061, 0.041]}","{0.332: [0.303, 0.329, 0.192, 0.188, 0.239, 0.056]}",0,"(4.0, 6.7)",4.841,0,"(4.0, 6.7)",4.841,1,"(4.2, 6.0)",5.449,2,"(4.4, 5.3)",6.083,3,"(4.6, 4.7)",6.66,4,"(4.8, 4.0)",7.325,5,"(5.0, 3.3)",8.0,6,"(5.2, 2.7)",8.602,7,"(5.4, 2.0)",9.291,8,"(5.6, 1.3)",9.986,9,"(5.8, 0.7)",10.6
E,D,C,"[5.9, 1.6]","[-32, -66, -68, -74, -86, -92]","{1.251: [0.61, 0.165, 0.15, 0.298, 0.83, 0.227]}","{0.922: [0.568, 0.031, 0.014, 0.37, 0.344, 0.586]}","{0.706: [0.648, 0.241, 0.261, 0.014, 0.303, 0.26]}",0,"(3.0, 8.3)",7.301,0,"(3.0, 8.3)",7.301,1,"(3.3, 8.5)",7.374,2,"(3.6, 8.7)",7.463,3,"(3.9, 8.8)",7.473,4,"(4.2, 9.0)",7.593,5,"(4.5, 9.2)",7.728,6,"(4.8, 9.3)",7.778,7,"(5.1, 9.5)",7.94,8,"(5.4, 9.7)",8.115,9,"(5.7, 9.8)",8.202
D,E,C,"[3.05, 4.3]","[-52, -53, -60, -62, -68, -81]","{0.518: [0.366, 0.329, 0.25, 0.088, 0.447, 0.08]}","{0.494: [0.429, 0.391, 0.348, 0.151, 0.03, 0.11]}","{0.334: [0.316, 0.274, 0.154, 0.225, 0.261, 0.125]}",3,"(4.6, 4.7)",1.601,0,"(4.0, 6.7)",2.581,1,"(4.2, 6.0)",2.052,2,"(4.4, 5.3)",1.68,3,"(4.6, 4.7)",1.601,4,"(4.8, 4.0)",1.776,5,"(5.0, 3.3)",2.191,6,"(5.2, 2.7)",2.68,7,"(5.4, 2.0)",3.288,8,"(5.6, 1.3)",3.937,9,"(5.8, 0.7)",4.53
E,D,C,"[1.2, 4.1]","[-51, -65, -72, -77, -72, -75]","{0.59: [0.378, 0.177, 0.1, 0.351, 0.532, 0.0]}","{0.382: [0.311, 0.016, 0.043, 0.426, 0.125, 0.293]}","{0.318: [0.329, 0.11, 0.385, 0.037, 0.217, 0.042]}",0,"(3.0, 5.0)",2.012,0,"(3.0, 5.0)",2.012,1,"(3.3, 4.5)",2.138,2,"(3.6, 4.0)",2.402,3,"(3.9, 3.5)",2.766,4,"(4.2, 3.0)",3.195,5,"(4.5, 2.5)",3.667,6,"(4.8, 2.0)",4.168,7,"(5.1, 1.5)",4.687,8,"(5.4, 1.0)",5.22,9,"(5.7, 0.5)",5.763
E,D,C,"[4.6, 7.6]","[-49, -61, -65, -68, -74, -75]","{0.615: [0.402, 0.228, 0.188, 0.193, 0.574, 0.0]}","{0.409: [0.462, 0.299, 0.293, 0.068, 0.121, 0.027]}","{0.296: [0.338, 0.047, 0.058, 0.259, 0.156, 0.293]}",2,"(3.0, 7.7)",1.603,0,"(3.0, 8.3)",1.746,1,"(3.0, 8.0)",1.649,2,"(3.0, 7.7)",1.603,3,"(3.0, 7.3)",1.628,4,"(3.0, 7.0)",1.709,5,"(3.0, 6.7)",1.836,6,"(3.0, 6.3)",2.062,7,"(3.0, 6.0)",2.263,8,"(3.0, 5.7)",2.484,9,"(3.0, 5.3)",2.802
