Shift_Point1,Shift_Point2,Toward_Point,Actual_Coord,RSSI,Normalized1,Normalized2,Normalized3,Best_Shift,Best_coord,Best_accuracy,Shift,Coord,Accuracy,Shift,Coord,Accuracy,Shift,Coord,Accuracy,Shift,Coord,Accuracy,Shift,Coord,Accuracy,Shift,Coord,Accuracy,Shift,Coord,Accuracy,Shift,Coord,Accuracy,Shift,Coord,Accuracy,Shift,Coord,Accuracy
E,D,C,"[1.8, 0.3]","[-53, -62, -66, -69, -72, -75]","{0.263: [0.284, 0.031, 0.043, 0.278, 0.125, 0.293]}","{0.255: [0.303, 0.151, 0.269, 0.138, 0.217, 0.042]}","{0.215: [0.395, 0.127, 0.143, 0.068, 0.133, 0.0]}",5,"(1.5, 0.8)",0.583,0,"(3.0, 1.7)",1.844,1,"(2.7, 1.5)",1.5,2,"(2.4, 1.3)",1.166,3,"(2.1, 1.2)",0.949,4,"(1.8, 1.0)",0.7,5,"(1.5, 0.8)",0.583,6,"(1.2, 0.7)",0.721,7,"(0.9, 0.5)",0.922,8,"(0.6, 0.3)",1.2,9,"(0.3, 0.2)",1.503
B,A,E,"[1.4, 6.9]","[-48, -58, -66, -67, -79, -77]","{0.464: [0.473, 0.333, 0.283, 0.082, 0.197, 0.055]}","{0.77: [0.415, 0.266, 0.175, 0.175, 0.681, 0.027]}","{0.355: [0.351, 0.094, 0.043, 0.241, 0.234, 0.328]}",4,"(3.0, 7.0)",1.603,0,"(3.0, 8.3)",2.126,1,"(3.0, 8.0)",1.942,2,"(3.0, 7.7)",1.789,3,"(3.0, 7.3)",1.649,4,"(3.0, 7.0)",1.603,5,"(3.0, 6.7)",1.612,6,"(3.0, 6.3)",1.709,7,"(3.0, 6.0)",1.836,8,"(3.0, 5.7)",2.0,9,"(3.0, 5.3)",2.263
B,A,E,"[1.4, 6.9]","[-47, -56, -67, -71, -75, -79]","{0.461: [0.484, 0.356, 0.272, 0.027, 0.136, 0.082]}","{0.713: [0.427, 0.291, 0.163, 0.246, 0.596, 0.053]}","{0.41: [0.365, 0.125, 0.029, 0.315, 0.172, 0.362]}",4,"(3.0, 7.0)",1.603,0,"(3.0, 8.3)",2.126,1,"(3.0, 8.0)",1.942,2,"(3.0, 7.7)",1.789,3,"(3.0, 7.3)",1.649,4,"(3.0, 7.0)",1.603,5,"(3.0, 6.7)",1.612,6,"(3.0, 6.3)",1.709,7,"(3.0, 6.0)",1.836,8,"(3.0, 5.7)",2.0,9,"(3.0, 5.3)",2.263
E,D,C,"[1.8, 0.3]","[-53, -62, -66, -69, -72, -75]","{0.263: [0.284, 0.031, 0.043, 0.278, 0.125, 0.293]}","{0.255: [0.303, 0.151, 0.269, 0.138, 0.217, 0.042]}","{0.215: [0.395, 0.127, 0.143, 0.068, 0.133, 0.0]}",5,"(1.5, 0.8)",0.583,0,"(3.0, 1.7)",1.844,1,"(2.7, 1.5)",1.5,2,"(2.4, 1.3)",1.166,3,"(2.1, 1.2)",0.949,4,"(1.8, 1.0)",0.7,5,"(1.5, 0.8)",0.583,6,"(1.2, 0.7)",0.721,7,"(0.9, 0.5)",0.922,8,"(0.6, 0.3)",1.2,9,"(0.3, 0.2)",1.503
C,A,E,"[1.4, 5.1]","[-48, -69, -68, -71, -73, -74]","{0.1: [0.263, 0.028, 0.117, 0.041, 0.12, 0.013]}","{0.577: [0.415, 0.127, 0.15, 0.246, 0.553, 0.013]}","{0.324: [0.351, 0.078, 0.014, 0.315, 0.141, 0.276]}",2,"(1.4, 5.0)",0.1,0,"(1.0, 5.0)",0.412,1,"(1.2, 5.0)",0.224,2,"(1.4, 5.0)",0.1,3,"(1.6, 5.0)",0.224,4,"(1.8, 5.0)",0.412,5,"(2.0, 5.0)",0.608,6,"(2.2, 5.0)",0.806,7,"(2.4, 5.0)",1.005,8,"(2.6, 5.0)",1.204,9,"(2.8, 5.0)",1.404
C,E,D,"[3.9, 1.4]","[-61, -66, -68, -69, -68, -71]","{0.426: [0.605, 0.07, 0.117, 0.068, 0.181, 0.053]}","{0.163: [0.176, 0.031, 0.014, 0.278, 0.062, 0.224]}","{0.23: [0.197, 0.096, 0.308, 0.138, 0.261, 0.014]}",3,"(3.9, 1.2)",0.2,0,"(3.0, 1.7)",0.949,1,"(3.3, 1.5)",0.608,2,"(3.6, 1.3)",0.316,3,"(3.9, 1.2)",0.2,4,"(4.2, 1.0)",0.5,5,"(4.5, 0.8)",0.849,6,"(4.8, 0.7)",1.14,7,"(5.1, 0.5)",1.5,8,"(5.4, 0.3)",1.86,9,"(5.7, 0.2)",2.163
E,B,A,"[2.2, 8.9]","[-58, -66, -67, -81, -77, -88]","{0.607: [0.216, 0.031, 0.029, 0.5, 0.203, 0.517]}","{0.346: [0.363, 0.241, 0.272, 0.11, 0.167, 0.205]}","{0.754: [0.293, 0.165, 0.163, 0.421, 0.638, 0.173]}",3,"(2.1, 8.8)",0.141,0,"(3.0, 8.3)",1.0,1,"(2.7, 8.5)",0.64,2,"(2.4, 8.7)",0.283,3,"(2.1, 8.8)",0.141,4,"(1.8, 9.0)",0.412,5,"(1.5, 9.2)",0.762,6,"(1.2, 9.3)",1.077,7,"(0.9, 9.5)",1.432,8,"(0.6, 9.7)",1.789,9,"(0.3, 9.8)",2.102
A,E,B,"[5.6, 9.5]","[-64, -69, -69, -83, -91, -95]","{1.238: [0.22, 0.127, 0.138, 0.456, 0.936, 0.267]}","{0.897: [0.135, 0.078, 0.0, 0.537, 0.422, 0.638]}","{0.447: [0.297, 0.207, 0.25, 0.137, 0.379, 0.301]}",8,"(5.4, 9.7)",0.283,0,"(3.0, 8.3)",2.864,1,"(3.3, 8.5)",2.508,2,"(3.6, 8.7)",2.154,3,"(3.9, 8.8)",1.838,4,"(4.2, 9.0)",1.487,5,"(4.5, 9.2)",1.14,6,"(4.8, 9.3)",0.825,7,"(5.1, 9.5)",0.5,8,"(5.4, 9.7)",0.283,9,"(5.7, 9.8)",0.316
D,E,C,"[0.3, 0.3]","[-46, -60, -71, -73, -74, -77]","{0.372: [0.395, 0.178, 0.365, 0.087, 0.196, 0.069]}","{0.404: [0.378, 0.062, 0.029, 0.352, 0.156, 0.328]}","{0.088: [0.211, 0.155, 0.078, 0.014, 0.108, 0.027]}",9,"(0.3, 0.2)",0.1,0,"(3.0, 1.7)",3.041,1,"(2.7, 1.5)",2.683,2,"(2.4, 1.3)",2.326,3,"(2.1, 1.2)",2.012,4,"(1.8, 1.0)",1.655,5,"(1.5, 0.8)",1.3,6,"(1.2, 0.7)",0.985,7,"(0.9, 0.5)",0.632,8,"(0.6, 0.3)",0.3,9,"(0.3, 0.2)",0.1
B,E,A,"[0.4, 7.6]","[-55, -54, -63, -71, -80, -81]","{0.458: [0.396, 0.379, 0.315, 0.027, 0.212, 0.11]}","{0.417: [0.257, 0.156, 0.087, 0.315, 0.25, 0.397]}","{0.813: [0.329, 0.316, 0.212, 0.246, 0.702, 0.08]}",6,"(1.2, 9.3)",1.879,0,"(3.0, 8.3)",2.693,1,"(2.7, 8.5)",2.47,2,"(2.4, 8.7)",2.283,3,"(2.1, 8.8)",2.081,4,"(1.8, 9.0)",1.98,5,"(1.5, 9.2)",1.942,6,"(1.2, 9.3)",1.879,7,"(0.9, 9.5)",1.965,8,"(0.6, 9.7)",2.11,9,"(0.3, 9.8)",2.202
C,E,D,"[4.5, 1.5]","[-60, -62, -66, -66, -75, -75]","{0.392: [0.579, 0.127, 0.143, 0.108, 0.096, 0.0]}","{0.204: [0.189, 0.031, 0.043, 0.222, 0.172, 0.293]}","{0.207: [0.211, 0.151, 0.269, 0.175, 0.185, 0.042]}",4,"(4.2, 1.0)",0.583,0,"(3.0, 1.7)",1.513,1,"(3.3, 1.5)",1.2,2,"(3.6, 1.3)",0.922,3,"(3.9, 1.2)",0.671,4,"(4.2, 1.0)",0.583,5,"(4.5, 0.8)",0.7,6,"(4.8, 0.7)",0.854,7,"(5.1, 0.5)",1.166,8,"(5.4, 0.3)",1.5,9,"(5.7, 0.2)",1.769
E,A,B,"[3.4, 9.8]","[-55, -65, -68, -73, -78, -84]","{0.439: [0.257, 0.016, 0.014, 0.352, 0.219, 0.448]}","{0.69: [0.329, 0.177, 0.15, 0.281, 0.66, 0.12]}","{0.345: [0.396, 0.253, 0.261, 0.0, 0.182, 0.151]}",2,"(3.6, 8.7)",1.118,0,"(3.0, 8.3)",1.552,1,"(3.3, 8.5)",1.304,2,"(3.6, 8.7)",1.118,3,"(3.9, 8.8)",1.118,4,"(4.2, 9.0)",1.131,5,"(4.5, 9.2)",1.253,6,"(4.8, 9.3)",1.487,7,"(5.1, 9.5)",1.726,8,"(5.4, 9.7)",2.002,9,"(5.7, 9.8)",2.3
D,B,E,"[5.5, 5.4]","[-54, -66, -68, -71, -82, -86]","{0.251: [0.289, 0.096, 0.308, 0.113, 0.109, 0.194]}","{0.384: [0.407, 0.241, 0.261, 0.027, 0.242, 0.178]}","{0.485: [0.27, 0.031, 0.014, 0.315, 0.281, 0.483]}",0,"(5.0, 5.0)",0.64,0,"(5.0, 5.0)",0.64,1,"(4.8, 5.0)",0.806,2,"(4.6, 5.0)",0.985,3,"(4.4, 5.0)",1.17,4,"(4.2, 5.0)",1.36,5,"(4.0, 5.0)",1.552,6,"(3.8, 5.0)",1.746,7,"(3.6, 5.0)",1.942,8,"(3.4, 5.0)",2.138,9,"(3.2, 5.0)",2.335
A,C,E,"[1.2, 4.1]","[-51, -65, -72, -76, -75, -75]","{0.65: [0.378, 0.177, 0.1, 0.333, 0.596, 0.0]}","{0.138: [0.342, 0.085, 0.065, 0.027, 0.096, 0.0]}","{0.381: [0.311, 0.016, 0.043, 0.407, 0.172, 0.293]}",1,"(1.2, 5.0)",0.9,0,"(1.0, 5.0)",0.922,1,"(1.2, 5.0)",0.9,2,"(1.4, 5.0)",0.922,3,"(1.6, 5.0)",0.985,4,"(1.8, 5.0)",1.082,5,"(2.0, 5.0)",1.204,6,"(2.2, 5.0)",1.345,7,"(2.4, 5.0)",1.5,8,"(2.6, 5.0)",1.664,9,"(2.8, 5.0)",1.836
D,C,E,"[2.3, 3.8]","[-47, -63, -63, -66, -65, -78]","{0.334: [0.382, 0.137, 0.212, 0.175, 0.293, 0.083]}","{0.163: [0.237, 0.113, 0.182, 0.108, 0.217, 0.04]}","{0.309: [0.365, 0.016, 0.087, 0.222, 0.016, 0.345]}",6,"(3.0, 3.7)",0.707,0,"(3.0, 1.7)",2.214,1,"(3.0, 2.0)",1.931,2,"(3.0, 2.3)",1.655,3,"(3.0, 2.7)",1.304,4,"(3.0, 3.0)",1.063,5,"(3.0, 3.3)",0.86,6,"(3.0, 3.7)",0.707,7,"(3.0, 4.0)",0.728,8,"(3.0, 4.3)",0.86,9,"(3.0, 4.7)",1.14
A,E,B,"[4.2, 9.1]","[-55, -68, -70, -80, -83, -93]","{0.951: [0.329, 0.139, 0.125, 0.404, 0.766, 0.24]}","{0.753: [0.257, 0.062, 0.014, 0.481, 0.297, 0.603]}","{0.413: [0.396, 0.218, 0.239, 0.096, 0.258, 0.274]}",4,"(4.2, 9.0)",0.1,0,"(3.0, 8.3)",1.442,1,"(3.3, 8.5)",1.082,2,"(3.6, 8.7)",0.721,3,"(3.9, 8.8)",0.424,4,"(4.2, 9.0)",0.1,5,"(4.5, 9.2)",0.316,6,"(4.8, 9.3)",0.632,7,"(5.1, 9.5)",0.985,8,"(5.4, 9.7)",1.342,9,"(5.7, 9.8)",1.655
C,E,D,"[5.5, 3]","[-63, -63, -64, -73, -78, -83]","{0.49: [0.658, 0.113, 0.169, 0.014, 0.06, 0.107]}","{0.385: [0.149, 0.016, 0.072, 0.352, 0.219, 0.431]}","{0.155: [0.171, 0.137, 0.231, 0.087, 0.152, 0.153]}",4,"(4.2, 1.0)",2.385,0,"(3.0, 1.7)",2.818,1,"(3.3, 1.5)",2.663,2,"(3.6, 1.3)",2.55,3,"(3.9, 1.2)",2.408,4,"(4.2, 1.0)",2.385,5,"(4.5, 0.8)",2.417,6,"(4.8, 0.7)",2.404,7,"(5.1, 0.5)",2.532,8,"(5.4, 0.3)",2.702,9,"(5.7, 0.2)",2.807
E,A,B,"[3.4, 9.8]","[-57, -66, -70, -73, -78, -86]","{0.459: [0.23, 0.031, 0.014, 0.352, 0.219, 0.483]}","{0.673: [0.305, 0.165, 0.125, 0.281, 0.66, 0.147]}","{0.32: [0.374, 0.241, 0.239, 0.0, 0.182, 0.178]}",2,"(3.6, 8.7)",1.118,0,"(3.0, 8.3)",1.552,1,"(3.3, 8.5)",1.304,2,"(3.6, 8.7)",1.118,3,"(3.9, 8.8)",1.118,4,"(4.2, 9.0)",1.131,5,"(4.5, 9.2)",1.253,6,"(4.8, 9.3)",1.487,7,"(5.1, 9.5)",1.726,8,"(5.4, 9.7)",2.002,9,"(5.7, 9.8)",2.3
B,E,A,"[1.1, 8.8]","[-55, -55, -66, -68, -69, -85]","{0.406: [0.396, 0.368, 0.283, 0.068, 0.045, 0.164]}","{0.378: [0.257, 0.141, 0.043, 0.259, 0.078, 0.466]}","{0.505: [0.329, 0.304, 0.175, 0.193, 0.468, 0.133]}",6,"(1.2, 9.3)",0.51,0,"(3.0, 8.3)",1.965,1,"(2.7, 8.5)",1.628,2,"(2.4, 8.7)",1.304,3,"(2.1, 8.8)",1.0,4,"(1.8, 9.0)",0.728,5,"(1.5, 9.2)",0.566,6,"(1.2, 9.3)",0.51,7,"(0.9, 9.5)",0.728,8,"(0.6, 9.7)",1.03,9,"(0.3, 9.8)",1.281
A,B,E,"[4.4, 6.4]","[-50, -61, -65, -68, -73, -80]","{0.586: [0.39, 0.228, 0.188, 0.193, 0.553, 0.067]}","{0.403: [0.451, 0.299, 0.293, 0.068, 0.106, 0.096]}","{0.341: [0.324, 0.047, 0.058, 0.259, 0.141, 0.379]}",6,"(3.0, 6.3)",1.404,0,"(3.0, 8.3)",2.36,1,"(3.0, 8.0)",2.126,2,"(3.0, 7.7)",1.91,3,"(3.0, 7.3)",1.664,4,"(3.0, 7.0)",1.523,5,"(3.0, 6.7)",1.432,6,"(3.0, 6.3)",1.404,7,"(3.0, 6.0)",1.456,8,"(3.0, 5.7)",1.565,9,"(3.0, 5.3)",1.78
A,E,B,"[4.2, 9.1]","[-53, -66, -68, -81, -82, -90]","{0.946: [0.354, 0.165, 0.15, 0.421, 0.745, 0.2]}","{0.716: [0.284, 0.031, 0.014, 0.5, 0.281, 0.552]}","{0.426: [0.418, 0.241, 0.261, 0.11, 0.242, 0.233]}",4,"(4.2, 9.0)",0.1,0,"(3.0, 8.3)",1.442,1,"(3.3, 8.5)",1.082,2,"(3.6, 8.7)",0.721,3,"(3.9, 8.8)",0.424,4,"(4.2, 9.0)",0.1,5,"(4.5, 9.2)",0.316,6,"(4.8, 9.3)",0.632,7,"(5.1, 9.5)",0.985,8,"(5.4, 9.7)",1.342,9,"(5.7, 9.8)",1.655
A,B,E,"[5.4, 6.5]","[-53, -56, -64, -67, -68, -89]","{0.516: [0.354, 0.291, 0.2, 0.175, 0.447, 0.187]}","{0.45: [0.418, 0.356, 0.304, 0.082, 0.03, 0.219]}","{0.449: [0.284, 0.125, 0.072, 0.241, 0.062, 0.534]}",5,"(3.0, 6.7)",2.408,0,"(3.0, 8.3)",3.0,1,"(3.0, 8.0)",2.83,2,"(3.0, 7.7)",2.683,3,"(3.0, 7.3)",2.53,4,"(3.0, 7.0)",2.452,5,"(3.0, 6.7)",2.408,6,"(3.0, 6.3)",2.408,7,"(3.0, 6.0)",2.452,8,"(3.0, 5.7)",2.53,9,"(3.0, 5.3)",2.683
A,C,E,"[0.2, 3.9]","[-64, -64, -65, -71, -77, -77]","{0.588: [0.22, 0.19, 0.188, 0.246, 0.638, 0.027]}","{0.51: [0.684, 0.099, 0.156, 0.041, 0.072, 0.027]}","{0.269: [0.135, 0.0, 0.058, 0.315, 0.203, 0.328]}",0,"(1.0, 5.0)",1.36,0,"(1.0, 5.0)",1.36,1,"(1.2, 5.0)",1.487,2,"(1.4, 5.0)",1.628,3,"(1.6, 5.0)",1.78,4,"(1.8, 5.0)",1.942,5,"(2.0, 5.0)",2.11,6,"(2.2, 5.0)",2.283,7,"(2.4, 5.0)",2.46,8,"(2.6, 5.0)",2.64,9,"(2.8, 5.0)",2.823
E,A,B,"[3.4, 9.8]","[-56, -63, -69, -74, -79, -89]","{0.536: [0.243, 0.016, 0.0, 0.37, 0.234, 0.534]}","{0.748: [0.317, 0.203, 0.138, 0.298, 0.681, 0.187]}","{0.373: [0.385, 0.276, 0.25, 0.014, 0.197, 0.219]}",2,"(3.6, 8.7)",1.118,0,"(3.0, 8.3)",1.552,1,"(3.3, 8.5)",1.304,2,"(3.6, 8.7)",1.118,3,"(3.9, 8.8)",1.118,4,"(4.2, 9.0)",1.131,5,"(4.5, 9.2)",1.253,6,"(4.8, 9.3)",1.487,7,"(5.1, 9.5)",1.726,8,"(5.4, 9.7)",2.002,9,"(5.7, 9.8)",2.3
B,E,A,"[0.2, 9.7]","[-53, -49, -62, -65, -70, -76]","{0.49: [0.418, 0.437, 0.326, 0.11, 0.061, 0.041]}","{0.293: [0.284, 0.234, 0.101, 0.204, 0.094, 0.31]}","{0.579: [0.354, 0.38, 0.225, 0.14, 0.489, 0.013]}",9,"(0.3, 9.8)",0.141,0,"(3.0, 8.3)",3.13,1,"(2.7, 8.5)",2.773,2,"(2.4, 8.7)",2.417,3,"(2.1, 8.8)",2.102,4,"(1.8, 9.0)",1.746,5,"(1.5, 9.2)",1.393,6,"(1.2, 9.3)",1.077,7,"(0.9, 9.5)",0.728,8,"(0.6, 9.7)",0.4,9,"(0.3, 9.8)",0.141
C,E,D,"[5.9, 1.6]","[-32, -66, -68, -74, -86, -92]","{0.097: [0.158, 0.07, 0.117, 0.0, 0.036, 0.227]}","{0.922: [0.568, 0.031, 0.014, 0.37, 0.344, 0.586]}","{0.526: [0.579, 0.096, 0.308, 0.075, 0.065, 0.278]}",7,"(5.1, 0.5)",1.36,0,"(3.0, 1.7)",2.902,1,"(3.3, 1.5)",2.602,2,"(3.6, 1.3)",2.319,3,"(3.9, 1.2)",2.04,4,"(4.2, 1.0)",1.803,5,"(4.5, 0.8)",1.612,6,"(4.8, 0.7)",1.421,7,"(5.1, 0.5)",1.36,8,"(5.4, 0.3)",1.393,9,"(5.7, 0.2)",1.414
C,D,E,"[3.05, 4.3]","[-52, -53, -60, -62, -68, -81]","{0.314: [0.368, 0.254, 0.221, 0.162, 0.181, 0.08]}","{0.334: [0.316, 0.274, 0.154, 0.225, 0.261, 0.125]}","{0.319: [0.297, 0.172, 0.13, 0.148, 0.062, 0.397]}",8,"(3.0, 4.3)",0.05,0,"(3.0, 1.7)",2.6,1,"(3.0, 2.0)",2.301,2,"(3.0, 2.3)",2.001,3,"(3.0, 2.7)",1.601,4,"(3.0, 3.0)",1.301,5,"(3.0, 3.3)",1.001,6,"(3.0, 3.7)",0.602,7,"(3.0, 4.0)",0.304,8,"(3.0, 4.3)",0.05,9,"(3.0, 4.7)",0.403
A,C,E,"[1.2, 4.1]","[-51, -65, -72, -77, -72, -75]","{0.59: [0.378, 0.177, 0.1, 0.351, 0.532, 0.0]}","{0.148: [0.342, 0.085, 0.065, 0.041, 0.133, 0.0]}","{0.382: [0.311, 0.016, 0.043, 0.426, 0.125, 0.293]}",1,"(1.2, 5.0)",0.9,0,"(1.0, 5.0)",0.922,1,"(1.2, 5.0)",0.9,2,"(1.4, 5.0)",0.922,3,"(1.6, 5.0)",0.985,4,"(1.8, 5.0)",1.082,5,"(2.0, 5.0)",1.204,6,"(2.2, 5.0)",1.345,7,"(2.4, 5.0)",1.5,8,"(2.6, 5.0)",1.664,9,"(2.8, 5.0)",1.836
A,E,B,"[4.6, 7.6]","[-49, -61, -65, -68, -74, -75]","{0.615: [0.402, 0.228, 0.188, 0.193, 0.574, 0.0]}","{0.296: [0.338, 0.047, 0.058, 0.259, 0.156, 0.293]}","{0.409: [0.462, 0.299, 0.293, 0.068, 0.121, 0.027]}",3,"(3.9, 8.8)",1.389,0,"(3.0, 8.3)",1.746,1,"(3.3, 8.5)",1.581,2,"(3.6, 8.7)",1.487,3,"(3.9, 8.8)",1.389,4,"(4.2, 9.0)",1.456,5,"(4.5, 9.2)",1.603,6,"(4.8, 9.3)",1.712,7,"(5.1, 9.5)",1.965,8,"(5.4, 9.7)",2.247,9,"(5.7, 9.8)",2.46
