Shift_Point1,Shift_Point2,Toward_Point,Actual_Coord,RSSI,Normalized1,Normalized2,Normalized3,Best_Shift,Best_coord,Best_accuracy,Shift,Coord,Accuracy,Shift,Coord,Accuracy,Shift,Coord,Accuracy,Shift,Coord,Accuracy,Shift,Coord,Accuracy,Shift,Coord,Accuracy,Shift,Coord,Accuracy,Shift,Coord,Accuracy,Shift,Coord,Accuracy,Shift,Coord,Accuracy
D,B,E,"[5, 3.3]","[-57, -62, -67, -73, -74, -89]","{0.27: [0.25, 0.151, 0.288, 0.087, 0.196, 0.236]}","{0.3: [0.337, 0.088, 0.056, 0.141, 0.138, 0.369]}","{0.889: [0.174, 0.409, 0.0, 0.46, 0.138, 0.679]}",0,"(5.0, 3.0)",0.3,0,"(5.0, 3.0)",0.3,1,"(4.8, 3.0)",0.361,2,"(4.6, 3.0)",0.5,3,"(4.4, 3.0)",0.671,4,"(4.2, 3.0)",0.854,5,"(4.0, 3.0)",1.044,6,"(3.8, 3.0)",1.237,7,"(3.6, 3.0)",1.432,8,"(3.4, 3.0)",1.628,9,"(3.2, 3.0)",1.825
B,E,A,"[0.2, 5.8]","[-54, -60, -65, -63, -78, -75]","{0.223: [0.372, 0.118, 0.085, 0.016, 0.2, 0.154]}","{0.46: [0.217, 0.364, 0.03, 0.26, 0.2, 0.415]}","{0.208: [0.229, 0.077, 0.217, 0.016, 0.258, 0.19]}",9,"(0.3, 5.9)",0.141,0,"(3.0, 5.0)",2.912,1,"(2.7, 5.1)",2.596,2,"(2.4, 5.2)",2.28,3,"(2.1, 5.3)",1.965,4,"(1.8, 5.4)",1.649,5,"(1.5, 5.5)",1.334,6,"(1.2, 5.6)",1.02,7,"(0.9, 5.7)",0.707,8,"(0.6, 5.8)",0.4,9,"(0.3, 5.9)",0.141
D,E,C,"[1.8, 0.3]","[-56, -63, -68, -68, -70, -73]","{0.262: [0.263, 0.137, 0.308, 0.15, 0.239, 0.014]}","{0.5: [0.188, 0.432, 0.015, 0.36, 0.077, 0.377]}","{0.285: [0.474, 0.113, 0.117, 0.081, 0.157, 0.027]}",4,"(1.8, 0.6)",0.3,0,"(3.0, 1.0)",1.389,1,"(2.7, 0.9)",1.082,2,"(2.4, 0.8)",0.781,3,"(2.1, 0.7)",0.5,4,"(1.8, 0.6)",0.3,5,"(1.5, 0.5)",0.361,6,"(1.2, 0.4)",0.608,7,"(0.9, 0.3)",0.9,8,"(0.6, 0.2)",1.204,9,"(0.3, 0.1)",1.513
C,A,E,"[1.2, 4.1]","[-51, -64, -71, -74, -74, -76]","{0.145: [0.342, 0.099, 0.078, 0.0, 0.108, 0.013]}","{0.212: [0.271, 0.015, 0.145, 0.194, 0.194, 0.206]}","{0.716: [0.261, 0.455, 0.06, 0.48, 0.138, 0.434]}",1,"(1.2, 3.0)",1.1,0,"(1.0, 3.0)",1.118,1,"(1.2, 3.0)",1.1,2,"(1.4, 3.0)",1.118,3,"(1.6, 3.0)",1.17,4,"(1.8, 3.0)",1.253,5,"(2.0, 3.0)",1.36,6,"(2.2, 3.0)",1.487,7,"(2.4, 3.0)",1.628,8,"(2.6, 3.0)",1.78,9,"(2.8, 3.0)",1.942
C,D,E,"[3.9, 1.9]","[-64, -72, -65, -76, -78, -73]","{0.498: [0.684, 0.014, 0.156, 0.027, 0.06, 0.027]}","{0.113: [0.158, 0.014, 0.25, 0.05, 0.152, 0.014]}","{0.862: [0.072, 0.636, 0.03, 0.52, 0.2, 0.377]}",5,"(3.0, 2.0)",0.906,0,"(3.0, 1.0)",1.273,1,"(3.0, 1.2)",1.14,2,"(3.0, 1.4)",1.03,3,"(3.0, 1.6)",0.949,4,"(3.0, 1.8)",0.906,5,"(3.0, 2.0)",0.906,6,"(3.0, 2.2)",0.949,7,"(3.0, 2.4)",1.03,8,"(3.0, 2.6)",1.14,9,"(3.0, 2.8)",1.273
B,E,A,"[0.2, 5.8]","[-54, -61, -63, -62, -76, -76]","{0.221: [0.372, 0.103, 0.113, 0.031, 0.169, 0.169]}","{0.475: [0.217, 0.386, 0.06, 0.24, 0.169, 0.434]}","{0.207: [0.229, 0.062, 0.241, 0.0, 0.226, 0.206]}",9,"(0.3, 5.9)",0.141,0,"(3.0, 5.0)",2.912,1,"(2.7, 5.1)",2.596,2,"(2.4, 5.2)",2.28,3,"(2.1, 5.3)",1.965,4,"(1.8, 5.4)",1.649,5,"(1.5, 5.5)",1.334,6,"(1.2, 5.6)",1.02,7,"(0.9, 5.7)",0.707,8,"(0.6, 5.8)",0.4,9,"(0.3, 5.9)",0.141
A,E,B,"[4.9, 5]","[-54, -54, -65, -74, -74, -78]","{0.261: [0.229, 0.169, 0.217, 0.194, 0.194, 0.238]}","{0.572: [0.217, 0.227, 0.03, 0.48, 0.138, 0.472]}","{0.27: [0.372, 0.206, 0.085, 0.156, 0.138, 0.2]}",6,"(4.8, 5.6)",0.608,0,"(3.0, 5.0)",1.9,1,"(3.3, 5.1)",1.603,2,"(3.6, 5.2)",1.315,3,"(3.9, 5.3)",1.044,4,"(4.2, 5.4)",0.806,5,"(4.5, 5.5)",0.64,6,"(4.8, 5.6)",0.608,7,"(5.1, 5.7)",0.728,8,"(5.4, 5.8)",0.943,9,"(5.7, 5.9)",1.204
B,D,E,"[4.6, 2.2]","[-62, -65, -68, -70, -73, -79]","{0.152: [0.279, 0.044, 0.042, 0.094, 0.123, 0.215]}","{0.209: [0.184, 0.11, 0.308, 0.125, 0.207, 0.097]}","{0.654: [0.101, 0.477, 0.015, 0.4, 0.123, 0.491]}",2,"(4.6, 3.0)",0.8,0,"(5.0, 3.0)",0.894,1,"(4.8, 3.0)",0.825,2,"(4.6, 3.0)",0.8,3,"(4.4, 3.0)",0.825,4,"(4.2, 3.0)",0.894,5,"(4.0, 3.0)",1.0,6,"(3.8, 3.0)",1.131,7,"(3.6, 3.0)",1.281,8,"(3.4, 3.0)",1.442,9,"(3.2, 3.0)",1.612
C,A,E,"[2.2, 3]","[-52, -62, -61, -66, -69, -76]","{0.235: [0.368, 0.127, 0.208, 0.108, 0.169, 0.013]}","{0.197: [0.257, 0.046, 0.265, 0.065, 0.113, 0.206]}","{0.53: [0.246, 0.409, 0.09, 0.32, 0.062, 0.434]}",6,"(2.2, 3.0)",0.0,0,"(1.0, 3.0)",1.2,1,"(1.2, 3.0)",1.0,2,"(1.4, 3.0)",0.8,3,"(1.6, 3.0)",0.6,4,"(1.8, 3.0)",0.4,5,"(2.0, 3.0)",0.2,6,"(2.2, 3.0)",0.0,7,"(2.4, 3.0)",0.2,8,"(2.6, 3.0)",0.4,9,"(2.8, 3.0)",0.6
B,E,D,"[5.8, 2.4]","[-63, -65, -67, -67, -70, -73]","{0.099: [0.267, 0.044, 0.056, 0.047, 0.077, 0.123]}","{0.5: [0.087, 0.477, 0.0, 0.34, 0.077, 0.377]}","{0.208: [0.171, 0.11, 0.288, 0.163, 0.239, 0.014]}",3,"(5.3, 2.1)",0.583,0,"(5.0, 3.0)",1.0,1,"(5.1, 2.7)",0.762,2,"(5.2, 2.4)",0.6,3,"(5.3, 2.1)",0.583,4,"(5.4, 1.8)",0.721,5,"(5.5, 1.5)",0.949,6,"(5.6, 1.2)",1.217,7,"(5.7, 0.9)",1.503,8,"(5.8, 0.6)",1.8,9,"(5.9, 0.3)",2.102
A,B,E,"[3.7, 4.9]","[-52, -58, -62, -69, -74, -85]","{0.315: [0.257, 0.108, 0.253, 0.113, 0.194, 0.349]}","{0.314: [0.395, 0.147, 0.127, 0.078, 0.138, 0.308]}","{0.696: [0.246, 0.318, 0.075, 0.38, 0.138, 0.604]}",0,"(3.0, 5.0)",0.707,0,"(3.0, 5.0)",0.707,1,"(3.0, 4.8)",0.707,2,"(3.0, 4.6)",0.762,3,"(3.0, 4.4)",0.86,4,"(3.0, 4.2)",0.99,5,"(3.0, 4.0)",1.14,6,"(3.0, 3.8)",1.304,7,"(3.0, 3.6)",1.476,8,"(3.0, 3.4)",1.655,9,"(3.0, 3.2)",1.838
A,B,E,"[3.05, 4.3]","[-53, -52, -61, -62, -66, -81]","{0.255: [0.243, 0.2, 0.265, 0.0, 0.065, 0.286]}","{0.284: [0.384, 0.235, 0.141, 0.031, 0.015, 0.246]}","{0.432: [0.232, 0.182, 0.09, 0.24, 0.015, 0.528]}",4,"(3.0, 4.2)",0.112,0,"(3.0, 5.0)",0.702,1,"(3.0, 4.8)",0.502,2,"(3.0, 4.6)",0.304,3,"(3.0, 4.4)",0.112,4,"(3.0, 4.2)",0.112,5,"(3.0, 4.0)",0.304,6,"(3.0, 3.8)",0.502,7,"(3.0, 3.6)",0.702,8,"(3.0, 3.4)",0.901,9,"(3.0, 3.2)",1.101
C,A,E,"[1.8, 3.2]","[-55, -59, -64, -64, -74, -71]","{0.291: [0.447, 0.169, 0.169, 0.135, 0.108, 0.053]}","{0.161: [0.214, 0.092, 0.229, 0.032, 0.194, 0.127]}","{0.372: [0.203, 0.341, 0.045, 0.28, 0.138, 0.34]}",4,"(1.8, 3.0)",0.2,0,"(1.0, 3.0)",0.825,1,"(1.2, 3.0)",0.632,2,"(1.4, 3.0)",0.447,3,"(1.6, 3.0)",0.283,4,"(1.8, 3.0)",0.2,5,"(2.0, 3.0)",0.283,6,"(2.2, 3.0)",0.447,7,"(2.4, 3.0)",0.632,8,"(2.6, 3.0)",0.825,9,"(2.8, 3.0)",1.02
D,E,B,"[4.9, 4.2]","[-57, -58, -59, -70, -71, -75]","{0.192: [0.25, 0.205, 0.135, 0.125, 0.228, 0.042]}","{0.485: [0.174, 0.318, 0.119, 0.4, 0.092, 0.415]}","{0.206: [0.337, 0.147, 0.169, 0.094, 0.092, 0.154]}",3,"(5.3, 3.9)",0.5,0,"(5.0, 3.0)",1.204,1,"(5.1, 3.3)",0.922,2,"(5.2, 3.6)",0.671,3,"(5.3, 3.9)",0.5,4,"(5.4, 4.2)",0.5,5,"(5.5, 4.5)",0.671,6,"(5.6, 4.8)",0.922,7,"(5.7, 5.1)",1.204,8,"(5.8, 5.4)",1.5,9,"(5.9, 5.7)",1.803
B,D,E,"[4.5, 1.5]","[-60, -62, -66, -65, -73, -75]","{0.143: [0.302, 0.088, 0.07, 0.016, 0.123, 0.154]}","{0.22: [0.211, 0.151, 0.269, 0.188, 0.207, 0.042]}","{0.461: [0.13, 0.409, 0.015, 0.3, 0.123, 0.415]}",2,"(4.6, 3.0)",1.503,0,"(5.0, 3.0)",1.581,1,"(4.8, 3.0)",1.53,2,"(4.6, 3.0)",1.503,3,"(4.4, 3.0)",1.503,4,"(4.2, 3.0)",1.53,5,"(4.0, 3.0)",1.581,6,"(3.8, 3.0)",1.655,7,"(3.6, 3.0)",1.749,8,"(3.4, 3.0)",1.86,9,"(3.2, 3.0)",1.985
B,A,E,"[2.1, 4.3]","[-56, -58, -64, -69, -70, -76]","{0.195: [0.349, 0.147, 0.099, 0.078, 0.077, 0.169]}","{0.176: [0.2, 0.108, 0.229, 0.113, 0.129, 0.206]}","{0.476: [0.188, 0.318, 0.045, 0.38, 0.077, 0.434]}",4,"(3.0, 4.2)",0.906,0,"(3.0, 5.0)",1.14,1,"(3.0, 4.8)",1.03,2,"(3.0, 4.6)",0.949,3,"(3.0, 4.4)",0.906,4,"(3.0, 4.2)",0.906,5,"(3.0, 4.0)",0.949,6,"(3.0, 3.8)",1.03,7,"(3.0, 3.6)",1.14,8,"(3.0, 3.4)",1.273,9,"(3.0, 3.2)",1.421
C,A,E,"[2.2, 3]","[-48, -65, -60, -66, -72, -71]","{0.158: [0.263, 0.085, 0.221, 0.108, 0.133, 0.053]}","{0.222: [0.314, 0.0, 0.277, 0.065, 0.161, 0.127]}","{0.561: [0.304, 0.477, 0.104, 0.32, 0.108, 0.34]}",6,"(2.2, 3.0)",0.0,0,"(1.0, 3.0)",1.2,1,"(1.2, 3.0)",1.0,2,"(1.4, 3.0)",0.8,3,"(1.6, 3.0)",0.6,4,"(1.8, 3.0)",0.4,5,"(2.0, 3.0)",0.2,6,"(2.2, 3.0)",0.0,7,"(2.4, 3.0)",0.2,8,"(2.6, 3.0)",0.4,9,"(2.8, 3.0)",0.6
C,E,A,"[0.2, 3.9]","[-68, -65, -64, -70, -76, -76]","{0.669: [0.789, 0.085, 0.169, 0.054, 0.084, 0.013]}","{0.607: [0.014, 0.477, 0.045, 0.4, 0.169, 0.434]}","{0.163: [0.029, 0.0, 0.229, 0.129, 0.226, 0.206]}",3,"(0.7, 3.9)",0.5,0,"(1.0, 3.0)",1.204,1,"(0.9, 3.3)",0.922,2,"(0.8, 3.6)",0.671,3,"(0.7, 3.9)",0.5,4,"(0.6, 4.2)",0.5,5,"(0.5, 4.5)",0.671,6,"(0.4, 4.8)",0.922,7,"(0.3, 5.1)",1.204,8,"(0.2, 5.4)",1.5,9,"(0.1, 5.7)",1.803
A,E,B,"[4.9, 5]","[-53, -57, -65, -74, -79, -80]","{0.307: [0.243, 0.123, 0.217, 0.194, 0.274, 0.27]}","{0.677: [0.232, 0.295, 0.03, 0.48, 0.215, 0.509]}","{0.303: [0.384, 0.162, 0.085, 0.156, 0.215, 0.231]}",6,"(4.8, 5.6)",0.608,0,"(3.0, 5.0)",1.9,1,"(3.3, 5.1)",1.603,2,"(3.6, 5.2)",1.315,3,"(3.9, 5.3)",1.044,4,"(4.2, 5.4)",0.806,5,"(4.5, 5.5)",0.64,6,"(4.8, 5.6)",0.608,7,"(5.1, 5.7)",0.728,8,"(5.4, 5.8)",0.943,9,"(5.7, 5.9)",1.204
C,A,E,"[0.2, 3.1]","[-62, -65, -70, -79, -73, -80]","{0.437: [0.632, 0.085, 0.091, 0.068, 0.12, 0.067]}","{0.217: [0.114, 0.0, 0.157, 0.274, 0.177, 0.27]}","{0.85: [0.101, 0.477, 0.045, 0.58, 0.123, 0.509]}",0,"(1.0, 3.0)",0.806,0,"(1.0, 3.0)",0.806,1,"(1.2, 3.0)",1.005,2,"(1.4, 3.0)",1.204,3,"(1.6, 3.0)",1.404,4,"(1.8, 3.0)",1.603,5,"(2.0, 3.0)",1.803,6,"(2.2, 3.0)",2.002,7,"(2.4, 3.0)",2.202,8,"(2.6, 3.0)",2.402,9,"(2.8, 3.0)",2.602
D,E,B,"[5.5, 5.4]","[-50, -63, -70, -75, -80, -79]","{0.286: [0.342, 0.137, 0.346, 0.062, 0.13, 0.097]}","{0.809: [0.275, 0.432, 0.045, 0.5, 0.231, 0.491]}","{0.31: [0.419, 0.074, 0.014, 0.172, 0.231, 0.215]}",8,"(5.8, 5.4)",0.3,0,"(5.0, 3.0)",2.452,1,"(5.1, 3.3)",2.138,2,"(5.2, 3.6)",1.825,3,"(5.3, 3.9)",1.513,4,"(5.4, 4.2)",1.204,5,"(5.5, 4.5)",0.9,6,"(5.6, 4.8)",0.608,7,"(5.7, 5.1)",0.361,8,"(5.8, 5.4)",0.3,9,"(5.9, 5.7)",0.5
D,B,E,"[5.5, 3]","[-62, -63, -64, -73, -78, -86]","{0.175: [0.184, 0.137, 0.231, 0.087, 0.152, 0.194]}","{0.257: [0.279, 0.074, 0.099, 0.141, 0.2, 0.323]}","{0.839: [0.101, 0.432, 0.045, 0.46, 0.2, 0.623]}",0,"(5.0, 3.0)",0.5,0,"(5.0, 3.0)",0.5,1,"(4.8, 3.0)",0.7,2,"(4.6, 3.0)",0.9,3,"(4.4, 3.0)",1.1,4,"(4.2, 3.0)",1.3,5,"(4.0, 3.0)",1.5,6,"(3.8, 3.0)",1.7,7,"(3.6, 3.0)",1.9,8,"(3.4, 3.0)",2.1,9,"(3.2, 3.0)",2.3
D,E,C,"[1.1, 1.1]","[-61, -73, -75, -78, -80, -81]","{0.268: [0.197, 0.0, 0.442, 0.025, 0.13, 0.125]}","{1.107: [0.116, 0.659, 0.119, 0.56, 0.231, 0.528]}","{0.378: [0.605, 0.028, 0.026, 0.054, 0.036, 0.08]}",6,"(1.2, 0.4)",0.707,0,"(3.0, 1.0)",1.903,1,"(2.7, 0.9)",1.612,2,"(2.4, 0.8)",1.334,3,"(2.1, 0.7)",1.077,4,"(1.8, 0.6)",0.86,5,"(1.5, 0.5)",0.721,6,"(1.2, 0.4)",0.707,7,"(0.9, 0.3)",0.825,8,"(0.6, 0.2)",1.03,9,"(0.3, 0.1)",1.281
D,E,B,"[5.5, 4.5]","[-56, -61, -67, -69, -76, -76]","{0.231: [0.263, 0.164, 0.288, 0.138, 0.174, 0.056]}","{0.545: [0.188, 0.386, 0.0, 0.38, 0.169, 0.434]}","{0.2: [0.349, 0.103, 0.056, 0.078, 0.169, 0.169]}",5,"(5.5, 4.5)",0.0,0,"(5.0, 3.0)",1.581,1,"(5.1, 3.3)",1.265,2,"(5.2, 3.6)",0.949,3,"(5.3, 3.9)",0.632,4,"(5.4, 4.2)",0.316,5,"(5.5, 4.5)",0.0,6,"(5.6, 4.8)",0.316,7,"(5.7, 5.1)",0.632,8,"(5.8, 5.4)",0.949,9,"(5.9, 5.7)",1.265
B,A,E,"[1.8, 4.8]","[-56, -75, -65, -73, -69, -72]","{0.176: [0.349, 0.103, 0.085, 0.141, 0.062, 0.108]}","{0.175: [0.2, 0.154, 0.217, 0.177, 0.113, 0.143]}","{0.877: [0.188, 0.705, 0.03, 0.46, 0.062, 0.358]}",1,"(3.0, 4.8)",1.2,0,"(3.0, 5.0)",1.217,1,"(3.0, 4.8)",1.2,2,"(3.0, 4.6)",1.217,3,"(3.0, 4.4)",1.265,4,"(3.0, 4.2)",1.342,5,"(3.0, 4.0)",1.442,6,"(3.0, 3.8)",1.562,7,"(3.0, 3.6)",1.697,8,"(3.0, 3.4)",1.844,9,"(3.0, 3.2)",2.0
B,E,D,"[5.8, 2.4]","[-62, -64, -67, -67, -69, -74]","{0.109: [0.279, 0.059, 0.056, 0.047, 0.062, 0.138]}","{0.494: [0.101, 0.455, 0.0, 0.34, 0.062, 0.396]}","{0.222: [0.184, 0.123, 0.288, 0.163, 0.25, 0.028]}",3,"(5.3, 2.1)",0.583,0,"(5.0, 3.0)",1.0,1,"(5.1, 2.7)",0.762,2,"(5.2, 2.4)",0.6,3,"(5.3, 2.1)",0.583,4,"(5.4, 1.8)",0.721,5,"(5.5, 1.5)",0.949,6,"(5.6, 1.2)",1.217,7,"(5.7, 0.9)",1.503,8,"(5.8, 0.6)",1.8,9,"(5.9, 0.3)",2.102
